"","Title","Author","Content","Comments_No","Upvote_Percentage"
"1","Blinks are loving BLACKPINK Lisa's open bang look and wonder if she got paid 5 billion KRW"," AmieAmore","BLACKPINK's Lisa has been known for her signature straight bangs as she maintained the look since her debut. 



Many BLACKPINK fans already know that Lisa pays extra care about her bangs as she mentioned on one episode of 'Knowing Bros' that she might think about opening her bangs halfway if she was given 5 billion KRW (4,593,703 USD).

Nonetheless, Lisa was recently seen with her forehead revealed, which made fans lovestruck for the artist once again. Lisa showed off a more feminine and mature beauty as she parted her bangs to the side showing off her beautiful forehead.



One netizen shared the photos and gif of Lisa's new hairdo as other netizens commented endless praise. Many fans loved Lisa's new vibe with her new hairstyle as they commented, ""Lisa was super pretty today,"" ""She looks like a barbie doll,"" ""I still like her with bangs, but she's so pretty with her bangs open,"" and ""Lisa looks really pretty with her bangs slightly opened.""



via GIPHY



Are you loving Lisa's open bang look?

","16","67%"
"2","Prostitutes 'B' & 'C' testify that they provided service in Seungri's home, Seungri's side denies their claims"," beansss","

Back on December 10, former Big Bang member Seungri attended a 4th military court hearing session, where witnesses 'A', 'B', and 'C' appeared and gave testimonies regarding Seungri's allegations of solicitation of prostitution, procurement of prostitution, and offering prostitution to clients.



On this day, witness 'B' stated in front of the court that she provided prostitution services in Seungri's home in September of 2019. 'B' said, ""I didn't know it was Seungri's house at first. I learned that it was Seungri's house when I arrived, and Seungri was there. I received my pay from a third party. Seungri also paid for the taxi which I used to return home.""



'B' additionally testified that she provided prostitution services for Seungri's Japanese client at a hotel in Yongsan, Seoul in December of 2015. 



However, Seungri's side denied these claims and refuted, ""It doesn't make sense that she learned the home was Seungri's home after arriving there. Seungri did not know that 'B' was a prostitute. Furthermore, in 2015, Seungri was a top singer and so he did not need any investment. He had no incentive to offer prostitution to Japanese investors."" 



Another witness 'C' similarly testified that she provided prostitution services at Seungri's home in December of 2015, but to the former Yuri Holdings president, Yoo In Suk. 'C' stated, ""I received the information from my seller and went to Seungri's home. I figured it was Seungri's home when I entered the first floor of the apartment. I had my gaze cast down when I entered, so I didn't know who all was there. There were about 3~4 men; I don't remember if Seungri was one of them. I do know that the buyer was Yoo In Suk.""Details of witness 'A's testimony, during which 'A' revealed that he participated in directing prostitutes to clients per orders received from Yoo In Suk, can be found here. Meanwhile, a 5th court hearing will take place on December 29, centered around Seungri's charges of violating food sanitation laws and other business operation laws. Witnesses including former Monkey Museum employees will appear in front of the court. ","150","79%"
"3","NCT's Jungwoo trends worldwide on Twitter as a picture of him smoking a cigarette surfaced online"," AmieAmore","On December 9th, NCT member Jungwoo trended on Twitter as fans became shocked to discover that a photo of him smoking surfaced online.



The photo quickly spread on portal sites like wildfire despite fans' attempts to stop the photo from spreading. Since then, there have been multiple tweets from NCT fans shielding the idol claiming he is an adult, therefore, he has the freedom to do as he wishes.

#JUNGWOO i know he is an adult and he is free but when you have so many fans you shouldnt do that or smoke.smoking is really bad and so many people are following you.

How ppl say other NCT members are smoking too... I don't care. I don't need a picture or smth to not care. I simply don't give a damn if someone's smoking to begin with. #JUNGWOO #NCT pic.twitter.com/5IVOfsULra

If you guys don’t stop coming for idols who are exposed smoking by “fans” I’m gonna snap they are adults and they can do what they want it may not be healthy but if you call yourself “fans” you need to support there choices. Thank you for coming to my TED talk. pic.twitter.com/jbNscH0NEd

jungwoo is adult now and he can do what he wants so why are guys so over acting just because he's smoking???

If Jungwoo wants to smoke let him!! He is a grown ass adult he isnt a child. Stop acting like idols doing normal things like smoking,vaping,dating,etc. is bad!! unless they are actually doing something illegal thats when you guys can get mad

Are yall children... Smoking is soooo common in Korea... and he's a grown man who can do what he wants #jungwoo pic.twitter.com/uPWekjZZHk

However, there were still a few netizens and fans who were disappointed to discover the photo of Jungwoo being caught in the act of smoking a cigarette. His name quickly trended worldwide on Twitter as many Twitter users shared the information of this news.

jungwoo smoking pic.twitter.com/ShBkRmB2nq

The fact that Jungwoo was the one I expected the least 🤣But I should have known that man was an engineering student if thay doesn't get you into smoking I don't know what will 😭","123","80%"
"4","Rain introduces Rain Company's first boy group, Ciipher"," beansss","On October 10, Rain unveiled the mystery announcement he teased earlier this week!



According to Rain's latest Instagram post, Rain Company will be debuting the label's first K-Pop boy group very soon. The group is named Ciipher and consists of 7-members. The boys will be introduced officially for the first time ever in a new episode of Rain's 'Season B Season' YouTube series. 



Stay tuned for more information on Rain Company's upcoming group Ciipher!

","66","82%"
"5","Netizens think some boy group concepts are getting boring because they keep catering to the foreign markets"," AmieAmore","One netizen recently posted on an online community their thoughts on the boy group concepts these days.



The netizen claimed that except for a few idol boy groups, most of the boy groups all wore dark clothing in the colors of black and red with dark makeup as the members glare at the camera.



The netizen also criticized how even their songs are all loud, upbeat songs that have mostly fast rap and extravagant performances with an overly strong concept. She claimed she became tired watching the performances as the boy groups showed a similar concept one after another.



She pointed out it's time that boy idols show off various concepts rather than just one. She suggested the boy groups try various concepts that are more fresh and light rather than dark. The netizen explained she is not a fan of one particular idol group but was expressing her thoughts as she watched a music show.



On the post, there was divided opinion over this matter as netizens gave their thoughts in the heated discussion.



Netizens' Commented:

""So I wasn't the only one who felt that way. I'm a fan of girl groups but I definitely feel the same.""

""I totally agree, I think the concepts are more catering to the overseas market now.""

""I read the post and even the 'Road To Kingdom' show criticized the groups for doing the same concept.""

""I mean doing a fresh concept is easier said than done. It's no use if the group has no fandom.""

""I think BAP, Block B, Monsta X, and ATEEZ are enough groups with a strong dark concept.""

""The Boyz did the fresh light concept for two years and they didn't gain any recognition.""

""The fresh light concept isn't that popular.""

""I think this person who made the post only saw a few performances, like 17 minutes of a 6-hour show.""

""I think they were pretty cool but they did all look the same.""

""I bet you people will complain if boy groups come out with the fresh light concept.""



What are your thoughts? Tell us in the comments below!","288","75%"
"6","Netizens talk about the adored life of NCT's Winwin"," beansss","

It seems that NCT's Winwin has led a life characterized by one consistent factor...



1. During elementary school:



2. Also during elementary school:



3. During middle school:



4. During high school:



5. In NCT:



6. In the ""90's Love"" unit:



7. On 'Inkigayo':





It's pretty clear that where ever he goes, NCT's Winwin has a tendency to be absolutely adored by the boys around him! 



Netizens reacted with comments like,



...and more! What do you think of Winwin's naturally adored life?","29","86%"
"7","'35th Golden Disc Awards' announces official nominees!"," germainej","The '35th Golden Disc Awards' has announced this year's official nominees.The 'Golden Disc Awards' previously announced the ceremony will be held on January 9-10, 2021 without an audience. As usual, the first event date will feature winners of the 'Digital Song Division,' while the second night will feature the 'Physical Album Division.' Only releases from November 2019 to November of this year are eligible to win. Winners are chosen 60% by sales and 40% by scoring from judges on the event's executive committee and 50 music industry specialists. Online voting by fans is only counted towards the popularity award, and fans can vote here through December 31 at 11:59PM KST. Take a look at the full list of nominees below.[Digital Song Division Bonsang (Main Award)]A Pink – ""Dumhdurum""Baek Ji Young – ""No love, No Heartbreak""Baek Yerin – ""Square (2017)""BLACKPINK – ""How You Like That""BOL4 – ""Leo"" (Feat. Baekhyun)BTS – ""Dynamite""CHANGMO – ""METEOR""Davichi – ""Dear.""Hwang In Wook – ""Sad Drinking""Hwasa – ""Maria""ITZY – ""WANNABE""IU – ""Blueming""Jessi – ""NUNUNANA""Jin Minho – ""half""Park Jin Young & Sunmi– ""When We Disco"" Kim Na Young, Yang Da Il – ""Goodbye List""Lee Hi – ""HOLO""Lim Young Woong – ""Trust in me""MAMAMOO – ""HIP""MC MONG – ""FAME"" feat. Song Ga In, ChancellorM.C the MAX – ""BLOOM""Noel – ""Late Night""Oh My Girl – ""Nonstop""OVAN – ""I Need You""Red Velvet – ""Psycho""Sin Ye Young – ""why break up?""Sunmi – ""pporappippam""TWICE – ""MORE & MORE""VIBE – ""Call me back""Zico – ""Any Song""



[Album Division Bonsang (Main Award)]AB6IX – 'VIVID'ATEEZ – 'ZERO : FEVER Part.1'Baekhyun – 'Delight'BLACKPINK – 'THE ALBUM'BTS – 'MAP OF THE SOUL : 7'CRAVITY – 'HIDEOUT: THE NEW DAY WE STEP INTO – SEASON 2.'EXO – 'OBSESSION'EXO-SC – '1 Billion Views'GOT7 – 'DYE'ITZY – 'Not Shy'IU – 'Love poem'Kai – 'KAI'Kang Daniel – 'MAGENTA'Kim Ho Joong – 'We Are Family'MAMAMOO – 'TRAVEL'MONSTA X – 'FATAL LOVE'NCT – 'RESONANCE Pt.1'NCT 127 – 'NCT #127 Neo Zone'NU’EST – 'The Table'Red Velvet-Irene & Seulgi – 'Monster'SEVENTEEN – 'Heng:garæ'Stray Kids – 'IN生 (IN LIFE)'Suho – 'Self-PortraitSuper Junior K.R.Y – 'When We Were Us'SuperM – 'Super One'Taemin – 'Never Gonna Dance Again : Act 1'TXT – 'The Dream Chapter: ETERNITY'TWICE – 'MORE & MORE'Wonho – 'Love Synonym #1 : Right for Me'WOODZ (Cho Seung Youn) – 'EQUAL'[Rookie Artist of the Year]CRAVITYDRIPPINENHYPENH&DKim Ho JoongLee Eun SangMCNDShin Ye YoungTOOTREASUREWEi[Popularity Award]A PinkATEEZBLACKPINKBTSCRAVITYDavichiENHYPENEXOGOT7ITZYIUKang DanielKim Ho JoongLee HiLim Young WoongMAMAMOOMONSTA XNCTNU'ESTOh My GirlPark Jin YoungRed VelvetSEVENTEENStray KidsSunmiSuper Junior K.R.Y.TREASURETWICETXTZico===Good luck to all the nominees!","28","74%"
"8","Kim Seon Ho's fancafe officially apologizes for negative posts about 'Start-Up' co-stars Suzy & Nam Joo Hyuk"," germainej","Kim Seon Ho's fancafe officially apologized for negative posts about his 'Start-Up' co-stars Suzy and Nam Joo Hyuk.The actor's fancafe recently raised attention among netizens for the critical comments posted about Kim Seon Ho's co-stars Suzy and Nam Joo Hyuk in particular, and the fancafe's moderators have now released an official apology. Though it was against the rules of the fancafe to mention other celebrities, fans found a way to discuss other actors with acronyms and their in-drama character names. The fancafe moderators stated, ""Because of the rude posts made on the official fancafe about 'Start-Up', fans of [Kim Seon Ho's] co-stars Suzy and Nam Joo Hyuk were deeply hurt. The moderators take responsibility, and we sincerely apologize to anyone who was hurt."" The moderators further stated they would delete all the related comments and users who don't follow the rules would be banned.What are your thoughts on the issue?","8","56%"
"9","Infamous child sex offender Cho Doo Soon continues to make requests to meet with the victim"," AmieAmore","It has been revealed that the infamous child sex offender had constantly requested to meet with the victim.



 The JTBC special 'Lee Gyu Yeon's Spotlight' talked about the sex offender Cho Doo Soon as there are only a few days until his release.



During the broadcast, producer Oh Seung Ryul explained, ""While covering his story, I felt he had no sense of remorse. In the petitions, he always wrote that he does not remember his actions because he was drunk."" In particular, what shocked netizens during the show was when the producers revealed that Cho Doo Soon had continued to ask to meet the victim. 



The anchor asked the producer on this day, ""Is it true that Cho Doo Soon requested to be permitted to meet the victim?"" to which the producer replied, ""Yes, we were surprised to see it as well. He always wrote at the end of every petition, 'Please let me meet with the victim'.""

Citizens of Korea continued to be shocked and tremble in fear as more information about Cho Doo Soon continues to be released. A few days ago, JTBC's 'Money Today' released shocking information shared by Cho Doo Soon's fellow cellmates. The discussion and debate on the issue continue to shake the nation of South Korea as Cho Doo Soon is scheduled to be released on December 12th.













","40","79%"
"10","Rapper Iron arrested for assaulting a roommate"," beansss","

According to Seoul's Yongsan Police Station on December 10, rapper Iron has been arrested for assaulting his roommate. 



On December 9, the police received a call from male 'A', Iron's roommate. 'A' accused Iron of hitting him multiple times with a baseball bat. 



The police plan on questioning Iron before deciding on his indictment. Meanwhile, back in 2016, Iron was charged with illegal marijuana use, for which he was found guilty. He was sentenced to a probation period of 2 years. 



Then, in 2017, he was also charged and indicted for assaulting his ex-girlfriend 'B', threatening her, etc. He was sentenced to a probation period of 2 years as well as 80 hours of community service. ","29","94%"
