"","author","title","description","url","urlToImage","publishedAt","content","source.id","source.name"
"1","Amanda Yeo","Bias, comeback, and aegyo: What all those K-pop words actually mean","K-pop has taken the Western world by storm, with groups such as BTS
, Blackpink
, Stray Kids, and Twice captivating fans with their addictive songs and magnetic personalities. If your pop culture consumption has primarily been in English up until now, the K…","https://mashable.com/article/kpop-glossary-maknae-bts/","https://mondrian.mashable.com/2020%252F11%252F27%252F98%252F4cd1da9d39c046b0a3f2a879030955c9.8887f.png%252F1200x630.png?signature=ft8zm45MauYr6mlpUQOcDRNpuyc=","2020-11-29T14:30:00Z","K-pop has taken the Western world by storm, with groups such as BTS
, Blackpink
, Stray Kids, and Twice captivating fans with their addictive songs and magnetic personalities. If your pop culture c… [+22772 chars]","mashable","Mashable"
"2","https://www.facebook.com/bbcnews","BTS: K-pop band earns first ever Grammy nomination","It's also the first time a Korean pop group has been nominated at the prestigious US music awards.","https://www.bbc.co.uk/news/world-asia-55068627","https://ichef.bbci.co.uk/news/1024/branded_news/0A5D/production/_115635620_gettyimages-1207828603.jpg","2020-11-25T07:08:50Z","image copyrightGetty Images
image captionBTS is currently one of the world's biggest pop bands
Global sensation BTS has become the first K-pop group to ever receive a Grammy nomination.
Their late… [+2234 chars]","bbc-news","BBC News"
"3",NA,"BTS releases new album 'BE', music video trends #1","K-Pop boy band BTS dropped their latest album ""BE"" along with a new music video for the song ""Life Goes On.""","https://www.cnn.com/videos/entertainment/2020/11/21/bts-new-single-be-new-video-album-llr-dp-orig.cnn","https://cdn.cnn.com/cnnnext/dam/assets/200122044515-bts-concert-file-super-tease.jpg","2020-11-21T13:20:13Z",NA,"cnn","CNN"
"4","Rhea Mogul, CNN","K-pop group BTS can defer military service after South Korea passes new law","K-pop fans can breathe a sigh of relief, with BTS here to stay -- for a few more years, at least.","https://www.cnn.com/2020/12/02/asia/bts-military-exemption-intl-hnk-scli/index.html","https://cdn.cnn.com/cnnnext/dam/assets/201124224159-bts-ama-2020-super-tease.jpg","2020-12-02T06:25:32Z","(CNN)K-pop fans can breathe a sigh of relief, with BTS here to stay -- for a few more years, at least.
Fans have long worried that the boy band, arguably the biggest in the world, could see their su… [+1394 chars]","cnn","CNN"
"5","Reuters Editorial","K-pop stars, a panda, and anger in China - Reuters.com","A reality TV episode showing K-pop girl band BLACKPINK holding a newly born panda was pulled after accusations in China that the group mishandled a national treasure, the latest problem between South Korea's entertainment stars and audiences in its larger nei…","https://www.reuters.com/video/watch/idOVD3ZPHM3","https://static.reuters.com/resources/r/?d=20201110&i=OVD3ZPHM3&r=OVD3ZPHM3&t=2","2020-11-10T12:31:43Z","Posted 
A reality TV episode showing K-pop girl band BLACKPINK holding a newly born panda was pulled after accusations in China that the group mishandled a national treasure, the latest problem betw… [+96 chars]","reuters","Reuters"
"6",NA,"K-Pop band BTS named Time's entertainer of the year - Reuters India","K-Pop band BTS named Time's entertainer of the year  Reuters India","https://www.reuters.com/article/us-time-person-bts-idUSKBN28K38O",NA,"2020-12-10T21:52:00Z","FILE PHOTO: Members of South Korean K-Pop band BTS react on the red carpet during 2015 Mnet Asian Music Awards (MAMA) in Hong Kong, China, December 2, 2015. REUTERS/Bobby Yip
Media Industry 
Reuter… [+1297 chars]","reuters","Reuters"
"7","Cherlynn Low","Apple Music arrives on Google's smart speakers and displays","It’s hard to imagine Apple and Google playing nice on a device, but that can be the case starting today. That is, for music streaming, anyway. Google announced today that Apple Music is now rolling out to Assistant-enabled speakers and displays like the Nest …","https://www.engadget.com/apple-music-google-assistant-speaker-display-nest-audio-160001811.html","https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-12%2F1f16d840-3670-11eb-b3df-7921156b7d23&client=amp-blogside-v2&signature=fa2f5743817d6bc4fd97d8be592397eb7526dc6a","2020-12-07T16:00:01Z","It’s hard to imagine Apple and Google playing nice on a device, but that can be the case starting today. That is, for music streaming, anyway. Google announced today that Apple Music is now rolling o… [+588 chars]","engadget","Engadget"
"8","Cynthia Kim","Collapse in BTS label's shares sparks South Korean soul searching over IPO process - Reuters","Big Hit Entertainment Co., the management label behind K-pop sensation BTS, debuted with a bang, but its dramatic crash after a pop on the first day of trading is causing South Korean regulators to seek safeguards for mom-and-pop investors.","https://www.reuters.com/article/us-bts-big-hit-investors-rules-idUSKBN27S0V2","https://static.reuters.com/resources/r/?m=02&d=20201112&t=2&i=1540939015&r=LYNXMPEGAB0GO&w=800","2020-11-12T07:33:00Z","SEOUL (Reuters) - Big Hit Entertainment Co., the management label behind K-pop sensation BTS, debuted with a bang, but its dramatic crash after a pop on the first day of trading is causing South Kore… [+3255 chars]","reuters","Reuters"
"9","Hyonhee Shin","South Korea passes law to allow BTS to postpone military service - Reuters","South Korea's parliament on Tuesday passed a bill to allow globally recognised K-pop artists such as BTS to postpone their mandatory military service to age 30.","https://www.reuters.com/article/southkorea-kpop-idUSKBN28B4GH","https://static.reuters.com/resources/r/?m=02&d=20201201&t=2&i=1543033535&r=LYNXMPEGB02FJ&w=800","2020-12-01T10:21:00Z","SEOUL (Reuters) - South Koreas parliament on Tuesday passed a bill to allow globally recognised K-pop artists such as BTS to postpone their mandatory military service to age 30.
All able-bodied Sout… [+1767 chars]","reuters","Reuters"
"10","Reuters Staff","K-Pop band BTS named Time's entertainer of the year - Reuters Canada","K-pop group BTS was named entertainer of the year by Time magazine on Thursday, capping a breakthrough year in the United States for the South Korean boy band.","https://ca.reuters.com/article/us-time-person-bts-idCAKBN28K38O","https://static.reuters.com/resources/r/?m=02&d=20201210&t=2&i=1544160405&r=LYNXMPEGB91SC&w=800","2020-12-10T21:56:03Z","By Reuters Staff
FILE PHOTO: Members of South Korean K-Pop band BTS react on the red carpet during 2015 Mnet Asian Music Awards (MAMA) in Hong Kong, China, December 2, 2015. REUTERS/Bobby Yip
(Reut… [+1137 chars]","reuters","Reuters"
"11","Sangmi Cha","South Korea's BTS snags first ever Grammy nomination for a K-Pop band - Reuters India","South Korean boy band BTS on Tuesday snagged the first ever Grammy nomination for a K-pop band, taking the worldwide sensation a step closer to winning the music award.","https://in.reuters.com/article/awards-grammys-nominations-bts-idINKBN285090","https://static.reuters.com/resources/r/?m=02&d=20201125&t=2&i=1542361816&r=LYNXMPEGAO03P&w=800","2020-11-25T02:24:00Z","SEOUL (Reuters) - South Korean boy band BTS on Tuesday snagged the first ever Grammy nomination for a K-pop band, taking the worldwide sensation a step closer to winning the music award.
FILE PHOTO:… [+1516 chars]","reuters","Reuters"
"12","Sangmi Cha","South Korea's BTS snags first ever Grammy nomination for a K-Pop band - Reuters","South Korean boy band BTS on Tuesday snagged the first ever Grammy nomination for a K-pop band, taking the worldwide sensation a step closer to winning the music award.","https://www.reuters.com/article/us-awards-grammys-nominations-bts-idUSKBN28506I","https://static.reuters.com/resources/r/?m=02&d=20201125&t=2&i=1542360113&r=LYNXMPEGAO02P&w=800","2020-11-25T02:01:00Z","SEOUL (Reuters) - South Korean boy band BTS on Tuesday snagged the first ever Grammy nomination for a K-pop band, taking the worldwide sensation a step closer to winning the music award.
FILE PHOTO:… [+1505 chars]","reuters","Reuters"
"13","Ju-min Park","Trot is hot: It's not just K-pop in South Korea - Reuters UK","In a film theatre near Seoul, scores of middle-aged South Korean women in matching baby-blue T-shirts, hair bands and face masks inscribed with the word ""Hero"" are screaming, singing along and taking selfies.","https://uk.reuters.com/article/us-southkorea-kpop-elderly-trot-idUKKBN27T0ES","https://static.reuters.com/resources/r/?m=02&d=20201113&t=2&i=1541064551&r=LYNXMPEGAC08D&w=800","2020-11-13T04:09:00Z","SEOUL (Reuters) - In a film theatre near Seoul, scores of middle-aged South Korean women in matching baby-blue T-shirts, hair bands and face masks inscribed with the word Hero are screaming, singing … [+3741 chars]","reuters","Reuters"
